Name;price;URL;type
Ataque a los Titanes Norma 05;4.0;https://www.todoconsolas.com/manga/30298-manga_ataque_a_los_titanes_norma_05_po55325-9788467912616.html;Manga
Ataque a los Titanes Norma 06;4.0;https://www.todoconsolas.com/manga/30993-manga_ataque_a_los_titanes_norma_06_po36469-9788467914016.html;Manga
Ataque a los Titanes Norma 07;4.5;https://www.todoconsolas.com/manga/30994-manga_ataque_a_los_titanes_norma_07_po39346-9788467914504.html;Manga
Ataque a los Titanes Norma 10;4.5;https://www.todoconsolas.com/manga/30988-manga_ataque_a_los_titanes_norma_10_po49349-9788467916294.html;Manga
Ataque a los Titanes Norma 11;5.0;https://www.todoconsolas.com/manga/31003-manga_ataque_a_los_titanes_norma_11_po49350-9788467917055.html;Manga
Ataque a los Titanes Norma 15;5.0;https://www.todoconsolas.com/manga/31004-manga_ataque_a_los_titanes_norma_15_po57777-9788467919851.html;Manga
Ataque a los Titanes Norma 27;5.5;https://www.todoconsolas.com/manga/20398-manga_ataque_a_los_titanes_norma_27_po97220-9788467937022.html;Manga
Ataque a los Titanes Norma 28;5.5;https://www.todoconsolas.com/manga/29407-manga_ataque_a_los_titanes_norma_28_po102660-9788467939231.html;Manga
Autasasinofilia Quiero Ser Asesinado Por Una Colegiala Ponent Mon 01;5.0;https://www.todoconsolas.com/manga/156234-manga_autasasinofilia_quiero_ser_asesinado_por_una_colegiala_ponent_mon_01_po195704-9781910856918.html;Manga
Ayakashi Triangle Ivrea 01;4.0;https://www.todoconsolas.com/manga/79854-manga_ayakashi_triangle_ivrea_01_po128257-9788419010018.html;Manga
Ayashi no Ceres Glenat 03;3.5;https://www.todoconsolas.com/manga/4802-manga_ayashi_no_ceres_glenat_03_po28356-9788484494430.html;Manga
Ayashi no Ceres Glenat 06;3.5;https://www.todoconsolas.com/manga/4805-manga_ayashi_no_ceres_glenat_06_po28359-9788484494461.html;Manga
Baby My Love 01;3.5;https://www.todoconsolas.com/manga/5586-manga_baby_my_love_01_po34314-9788496734340.html;Manga
Bakemono Glenat 01;2.0;https://www.todoconsolas.com/manga/5844-manga_bakemono_glenat_01_po36042-9788499471044.html;Manga
BakemonoGatari Milky Way 02;5.0;https://www.todoconsolas.com/manga/11193-manga_bakemonogatari_milky_way_02_po87992-9788417373801.html;Manga
Baki The Grappler Ed. Kanzenban Ivrea 01;9.95;https://www.todoconsolas.com/manga/127337-manga_baki_the_grappler_ed__kanzenban_ivrea_01_po169697-9788419600134.html;Manga
Bakuman 01;3.0;https://www.todoconsolas.com/manga/2190-manga_bakuman_01_po22594-9788467903027.html;Manga
Banya Mensajeria Urgente 01;3.5;https://www.todoconsolas.com/manga/128986-manga_banya_mensajeria_urgente_01_po171135-9788467445206.html;Manga
Banya Mensajeria Urgente 02;3.5;https://www.todoconsolas.com/manga/44410-manga_banya_mensajeria_urgente_02_po31812-9788467445213.html;Manga
Banya Mensajeria Urgente 03;3.5;https://www.todoconsolas.com/manga/128917-manga_banya_mensajeria_urgente_03_po171136-9788467445220.html;Manga
Banya Mensajeria Urgente 04;3.5;https://www.todoconsolas.com/manga/128964-manga_banya_mensajeria_urgente_04_po171138-9788467445237.html;Manga
Banya Mensajeria Urgente 05;3.5;https://www.todoconsolas.com/manga/128968-manga_banya_mensajeria_urgente_05_po171137-9788467445244.html;Manga
Basilisk Ivrea 02;4.5;https://www.todoconsolas.com/manga/148378-manga_basilisk_ivrea_02_po188212-9788410061019.html;Manga
Basilisk Ivrea 03;4.5;https://www.todoconsolas.com/manga/148379-manga_basilisk_ivrea_03_po188213-9788410113572.html;Manga
Bastard Planeta 01;4.0;https://www.todoconsolas.com/manga/4890-manga_bastard_planeta_01_po29038.html;Manga
Bastard Planeta 11;4.5;https://www.todoconsolas.com/manga/57820-manga_bastard_planeta_11_po46792.html;Manga
Bastard Planeta 12;4.5;https://www.todoconsolas.com/manga/57819-manga_bastard_planeta_12_po46793.html;Manga
Bastard Planeta 13;4.5;https://www.todoconsolas.com/manga/6939-manga_bastard_planeta_13_po46794.html;Manga
Bastard Planeta 15;4.5;https://www.todoconsolas.com/manga/57817-manga_bastard_planeta_15_po46796.html;Manga
Bastard Planeta 17;4.5;https://www.todoconsolas.com/manga/57815-manga_bastard_planeta_17_po46798.html;Manga
Battle Royale 03;4.5;https://www.todoconsolas.com/manga/44356-manga_battle_royale_03_po32031-9789875621787.html;Manga
Battle Royale 04;4.5;https://www.todoconsolas.com/manga/44355-manga_battle_royale_04_po32032-9789875621954.html;Manga
Battle Royale 05;4.5;https://www.todoconsolas.com/manga/44354-manga_battle_royale_05_po32033-9789875622432.html;Manga
Beastars MilkyWay 02;5.0;https://www.todoconsolas.com/manga/78263-manga_beastars_milkyway_02_po127302-9788417373450.html;Manga
Beastars MilkyWay 03;5.0;https://www.todoconsolas.com/manga/152006-manga_beastars_milkyway_03_po191941-9788417373610.html;Manga
